drug-id,smile
C0027996,C1=CC(=CN=C1)C(=O)O
C0027999,C1=CC=C(C=C1)CNC(=O)CCNNC(=O)C2=CC=NC=C2
C0028005,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC
C0028008,CN1C[C@@H](C[C@]2([C@H]1CC3=CN(C4=CC=CC2=C34)C)OC)COC(=O)C5=CC(=CN=C5)Br
C0028017,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
C0028040,CN1CCC[C@H]1C2=CN=CC=C2
C0028066,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
C0028067,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F
C0028073,CC1CS(=O)(=O)CCN1/N=C/C2=CC=C(O2)[N+](=O)[O-]
C0028089,CCN(CC)C(=O)C1=CN=CC=C1
C0028094,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC
C0028096,CC1=NC=C(C(=N1)N)CNC(=O)N(CCCl)N=O
C0028101,[Nb]
C0028116,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
C0028127,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C
C0028128,[N]=O
C0028156,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-]
C0028157,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N
C0028158,N#N
C0028193,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Fe+2]
C0028214,N(=O)O
C0028215,[N-]=[N+]=O
C0028277,CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3
C0028351,C1=CC(=C(C=C1[C@H](CN)O)O)O
C0028355,CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)O
C0028356,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34
C0028360,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3CCC(=O)C4
C0028365,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
C0028368,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34
C0028420,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
C0028426,CN1CCC2=CC3=C(C(=C2[C@@H]1[C@@H]4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3
C0028458,CC1=C(C=CC2=C1OC(=O)C(=C2O)NC(=O)C3=CC(=C(C=C3)O)CC=C(C)C)O[C@H]4[C@@H]([C@@H]([C@H](C(O4)(C)C)OC)OC(=O)N)O
C0028741,C[C@H]1/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(CC2C(C(C[C@](O2)(CC(C(CCC(CC(CC(CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O
C0028833,C[C@H]([C@H]1C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)[C@@H](CC5=CC=CC=C5)N)C(=O)N[C@H](CO)[C@@H](C)O)O
C0028902,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
C0028928,CCCCCCCC/C=C\CCCCCCCC(=O)O
C0028978,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
C0029277,C(C[C@@H](C(=O)O)N)CN
C0029300,C1=C(NC(=O)NC1=O)C(=O)O
C0029309,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C
C0029923,CC(=CCC1C(O1)(C)C2(C(C(=O)CCC2(C)O)OC)O)C
C0029983,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O
C0029994,CC(C)NCC1CCC2=CC(=C(C=C2N1)[N+](=O)[O-])CO
C0029997,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O
C0030040,CC(C)NCC(COC1=CC=CC=C1OCC=C)O
C0030049,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O
C0030071,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C
C0030072,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(C/C(=C/O)/C(=O)C4)C
C0030082,CC[N+](C)(CC)CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O
C0030086,C1=NNC2=C1C(=O)NC(=O)N2
C0030092,C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O
C0030095,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N
C0030125,C1=CC(=C(C=C1N)O)C(=O)O
C0030135,C1=CC(=CC=C1CC(C(=O)O)N)Cl
C0030140,CC(CC1=CC=C(C=C1)O)N
C0030234,CCCCCCCCCCCCCCCC(=O)O
C0030310,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[N+]4(CCCCC4)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C
C0030311,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[N+]4(CCCCC4)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C.[Br-].[Br-]
C0030342,CC(C)(CO)[C@H](C(=O)NCCC(=O)O)O
C0030350,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC
C0030438,CC1OC(OC(O1)C)C
C0030557,CN(CC#C)CC1=CC=CC=C1
C0030576,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N
C0030771,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O
C0030800,C1=CC=C(C=C1)C2C(=O)N=C(O2)N
C0030812,CC(C)(C)NC[C@@H](COC1=CC=CC=C1C2CCCC2)O
C0030817,CC(C)([C@H](C(=O)O)N)S
C0030827,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C
C0030840,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C
C0030858,C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-]
C0030859,CC(C)(C)OC(=O)NCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N
C0030863,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N
C0030873,C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC=C(C)C)C)C=C(C=C3)O
C0030883,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC
C0030885,C[N+]1(CCCC1)CCCCC[N+]2(CCCC2)C
C0030895,C([C@H]([C@@H]1[C@@H]([C@@H](O[Sb](=O)(O1)O[Sb]2(=O)O[C@@H]([C@@H]([C@@H](O2)C(=O)[O-])O)[C@@H](CO)O)C(=O)[O-])O)O)O.O.O.O.O.O.O.O.O.O.[Na+].[Na+].[Na+]
C0030896,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC[C@H]3O)CO)O
C0030899,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C
C0030969,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=CC=CC=C42
C0031007,CCCN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CSC
C0031013,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3
C0031184,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
C0031364,CCOC1=CC=C(C=C1)NC(=O)C
C0031381,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3
C0031392,C1=CC=C(C=C1)CCNN
C0031404,C1=CC=C(C=C1)CCN=C(N)N=C(N)N
C0031407,CC(CC1=CC=CC=C1)NN
C0031411,CC1C(OCCN1)C2=CC=CC=C2
C0031412,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2
C0031434,C1=CC=C2C(=C1)NC3=CC=CC=C3S2
C0031441,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2
C0031444,CCC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
C0031448,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O
C0031453,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
C0031463,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3
C0031469,CNC[C@@H](C1=CC(=CC=C1)O)O
C0031495,C[C@H]([C@H](C1=CC=CC=C1)O)N
C0031507,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
C0031566,C1=C(C=C(C=C1O)O)O
C0031610,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC
C0031634,CN(CC(=O)O)/C(=N/P(=O)(O)O)/N
C0031700,OP(=O)(O)O
C0031705,[P]
C0031721,C([C@@H](C(=O)O)N)OP(=O)(O)O
C0031849,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C
C0031923,CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C
C0031935,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
C0031937,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O
C0031955,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O
C0031957,C1CNCCN1
C0031962,CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2
C0031977,C1CC(=O)N(C1)CC(=O)N
C0031978,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4
C0031990,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3
C0032036,CN1CCC(=C2C3=C(CCC4=CC=CC=C42)SC=C3)CC1
C0032207,[Pt]
C0032333,COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O.COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O.COC1=CC(=CC(=C1OC)OC)C2C(C(C(C3=CC4=C(C=C23)OCO4)O)CO)C(=O)O.COC1=CC(=CC(=C1OC)OC)C2C(C(C(C3=CC4=C(C=C23)OCO4)O)CO)C(=O)O
C0032334,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O
C0032697,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4C)N
C0032821,[K]
C0032825,[Cl-].[K+]
C0032831,[K+].[I-]
C0032838,[O-][Mn](=O)(=O)=O.[K+]
C0032856,C=CN1CCCC1=O
C0032857,C=CN1CCCC1=O.II
C0032896,CC(C)NCC(COC1=CC=C(C=C1)NC(=O)C)O
C0032911,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2
C0032912,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC
C0032949,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)COC(=O)CCCC4=CC=C(C=C4)N(CCCl)CCCl)O)CCC5=CC(=O)C=C[C@]35C)O
C0032950,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O
C0032952,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C
C0033008,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C
C0033051,CC(C)NC[C@@H](COC1=CC=C(C=C1)O)O
C0033059,CC(CC1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3
C0033124,CCCNC(C)C(=O)NC1=CC=CC=C1C
C0033126,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2
C0033148,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2
C0033200,CCCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OCCN(CC)CC
C0033209,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O
C0033215,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)SC(C)(C)SC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C
C0033216,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N
C0033218,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N
C0033223,CC(C)NC(=O)C1=CC=C(C=C1)CNNC
C0033228,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
C0033229,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
C0033254,C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O
C0033294,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N
C0033308,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
C0033382,C1C[C@H](NC1)C(=O)O
C0033399,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31
C0033405,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C
C0033429,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O
C0033447,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C
C0033487,CC(C)C1=C(C(=CC=C1)C(C)C)O
C0033497,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
C0033501,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O
C0033511,CCCC1=CC(=O)NC(=S)N1
C0033532,CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)O)O
C0033567,CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1C/C(=C/CCCC(=O)O)/O2)O)O
C0033705,CCCC1=NC=CC(=C1)C(=S)N
C0033743,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13
C0033798,C[C@@H]([C@H](C1=CC=CC=C1)O)NC
C0033979,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O
C0034235,CN1CCCN=C1/C=C/C2=CC=CS2
C0034239,C1=CN=C(C=N1)C(=O)N
C0034261,C[N+]1=CC=CC(=C1)OC(=O)N(C)C
C0034262,C[N+]1=CC=CC(=C1)OC(=O)N(C)C.[Br-]
C0034268,CC1=NC=C(C(=C1O)CN)CO
C0034282,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2
C0034283,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
C0034330,C1CC(=O)N[C@@H]1C(=O)O
C0034392,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
C0034403,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC
C0034410,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5
C0034414,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O
C0034417,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O
C0034504,CSCCC(C(=O)O)N
C0034632,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O
C0034665,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C
C0035167,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)/C=C/C6=CC(=C(C(=C6)OC)OC)OC
C0035179,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
C0035331,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C
C0035417,C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O
C0035525,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N
C0035527,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O
C0035549,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O
C0035554,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O)N
C0035608,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C
C0035629,CC(C12CC3CC(C1)CC(C3)C2)N
C0035823,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O
C0035891,CC[C@@H]1[C@@]([C@@H]([C@H](/C(=N/OCOCCOC)/[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
C0035930,[Rb]
C0035976,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O
C0036002,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O
C0036023,C1=CC=C2C(=C1)C(=O)NS2(=O)=O
C0036071,C1=CC=C(C(=C1)C(=O)N)O
C0036077,C1=CC=C(C(=C1)C(=O)O)[O-]
C0036078,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O
C0036079,C1=CC=C(C(=C1)C(=O)O)O
C0036147,[Sm]
C0036193,C[C@@H](C(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC2=CN=CN2)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC3=CC=C(C=C3)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC
C0036228,CNCC(=O)O
C0036442,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4
C0036516,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C
C0036579,C[C@H](CC1=CC=CC=C1)N(C)CC#C
C0036581,[Se]
C0036584,C[Se]CCC(C(=O)O)N
C0036720,C([C@@H](C(=O)O)N)O
C0036751,C1=CC2=C(C=C1O)C(=CN2)CCN
C0037107,[Si]
C0037129,[N+](=O)([O-])[O-].[Ag+]
C0037134,C1=CN=C(N=C1)[N-]S(=O)(=O)C2=CC=C(C=C2)N.[Ag+]
C0037135,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O
C0037167,CSCC[C@@H](C(=O)NCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N)NC(=O)[C@H](CC4=CC=C(C=C4)OS(=O)(=O)O)NC(=O)[C@H](CC(=O)O)N
C0037494,[Na+].[Cl-]
C0037506,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
C0037508,[F-].[Na+]
C0037517,[OH-].[Na+]
C0037521,[Na+].[I-]
C0037537,C(CC(=O)[O-])CO.[Na+]
C0037556,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
C0037659,CC(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)CC5=CC=CC=C5)CC(=O)N)CCCCN)NC(=O)CNC(=O)C(C)N)C(=O)O)CO)C(C)O)CC6=CC=CC=C6)O
C0037688,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
C0037707,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
C0037874,C(CCNCCCN)CNCCCN
C0037956,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F
C0037962,C[C@@H]1C/C=C/C=C/[C@@H]([C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)O[C@H]4CC[C@@H]([C@H](O4)C)N(C)C
C0037982,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C
C0038148,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C
C0038229,CCCCCCCCCCCCCCCCCC(=O)O
C0038329,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
C0038425,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
C0038432,CN(C(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O)N=O
C0038585,CC(C)C[C@@H](C(=O)N[C@@H](CCSC)C(=O)N)NC(=O)CNC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCCN)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCN=C(N)N)N
C0038627,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
C0038633,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)COS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])COS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al].O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Al]
C0038665,CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C
C0038670,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N
C0038675,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N
C0038676,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC
C0038686,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C
C0038689,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
C0038702,C1=CC(=CC=C1N)S(=O)(=O)N
C0038706,C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N
C0038710,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N
C0038711,C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N
C0038722,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2
C0038742,C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4
C0038745,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N
C0038774,[S]
C0038792,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O
C0038803,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC
C0038878,CC(C1=CC=C(C=C1)C(=O)C2=CC=CS2)C(=O)O
C0038880,CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)C
C0039245,C1CCC2=NC3=CC=CC=C3C(=C2C1)N
