drug-id,smile
C0002679,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O
C0002680,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C
C0002697,C1=CN=CC=C1C2=CNC(=O)C(=C2)N
C0002699,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
C0002711,CCCCCON=O
C0002728,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@H](O3)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O)CO)O)O)O[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)CO)O)O)O)O
C0002732,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O
C0002860,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C
C0002937,COC1=CC=C(C=C1)C2=CC(=S)SS2
C0003134,CN1C=NC=C1C[C@@H](C(=O)O)NC(=O)CCN
C0003143,C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3
C0003166,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O
C0003380,[Sb]
C0003420,CC1=CC(=O)N(N1C)C2=CC=CC=C2
C0003449,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl
C0003524,CCCC1C(=O)N2C3=C(C=CC(=C3)C)N=C(N2C1=O)N(C)C
C0003596,CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O
C0003641,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC2CSSCC3C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)N4CCCC4C(=O)N5CCCC5C(=O)NC(C(=O)NC(C(=O)NCC(=O)N6CCCC6C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N3)CC(=O)O)CCC(=O)O)C)CO)CCCCN)CC7=CC=CC=C7)CC(=O)N)CC(=O)N)CCCNC(=N)N)CCCCN)C)CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CCC(=O)N)C(C)O)CC8=CC=CC=C8)C(C)C)CC9=CC=C(C=C9)O)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCNC(=N)N)C)CCCCN)C(C)O)CC1=CC=C(C=C1)O)CCC(=O)O)CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)NC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)N)C(=O)NCC(=O)NCC(=O)NC(C)C(=O)O)C(C)O)CCCNC(=N)N)CCSC)CC(C)C)C)CCCCN)C)CC(=O)N)CC1=CC=C(C=C1)O)CC1=CC=CC=C1)CC1=CC=C(C=C1)O)CCCNC(=N)N)C(C)CC
C0003682,C1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O
C0003695,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
C0003729,C1=CC(=CC=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O
C0003765,C(C[C@@H](C(=O)O)N)CN=C(N)N
C0003993,CC1=CC(=C(C=C1)C(=O)C(=C)CN(C)C)C
C0003995,C([C@@H](C(=O)O)N)C(=O)N
C0003999,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N
C0004015,C([C@@H](C(=O)O)N)C(=O)O
C0004057,CC(=O)OC1=CC=CC=C1C(=O)O
C0004147,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
C0004234,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C
C0004259,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
C0004320,CCP(CC)CC.CC(=O)OCC1C(C(C(C(O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+]
C0004475,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N
C0004477,C1CN(CCN1CCCC(=O)C2=CC=C(C=C2)F)C3=CC=CC=N3
C0004482,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
C0004499,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)O)C
C0004521,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/C2=CSC(=N2)N
C0004609,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
C0004743,CCC1(C(=O)NC(=O)NC1=O)CC
C0004749,[Ba]
C0004754,[O-]S(=O)(=O)[O-].[Ba+2]
C0004905,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)Cl)C
C0004960,CCC1(CC(=O)NC(=O)C1)C
C0004975,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
C0005014,C1=CC(=C(C(=C1CNNC(=O)C(CO)N)O)O)O
C0005025,CCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1
C0005035,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br
C0005038,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
C0005041,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2
C0005059,CCOC(=O)C1=CC=C(C=C1)N
C0005088,C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2
C0005096,C[C@@H](CC1=CC=CC=C1)N(C)CC2=CC=CC=C2
C0005098,CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
C0005099,CN(C)CCCOC1=NN(C2=CC=CC=C21)CC3=CC=CC=C3
C0005100,C1=CC=C(C=C1)CO
C0005116,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
C0005117,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC
C0005124,[Bk]
C0005287,CC1=CC(=C(C2=C1O[C@](CC2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)O
C0005304,C[N+](C)(C)CC(=O)[O-]
C0005308,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
C0005320,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
C0005321,C1=C(NN=C1)CCN
C0005324,CNC(=NC)NCC1=CC=CC=C1
C0005330,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl
C0005382,C(=NC(=N)N)(N)N
C0005575,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2
C0005578,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O
